sp1,sp2,sp1_inc,sp2_inc,obs_cooccur,prob_cooccur,exp_cooccur,p_lt,p_gt,sp1_name,sp2_name,Association
3,63,98,181,27,0.026,21.3,0.94282,0.09168,Rotting.Decaying,L-Rhamnose,Random
3,64,98,578,78,0.082,68.2,0.99358,0.01264,Rotting.Decaying,D-Xylose,Positive
3,65,98,288,39,0.041,34,0.8938,0.15269,Rotting.Decaying,L-Arabinose,Random
3,66,98,247,39,0.035,29.1,0.99163,0.01512,Rotting.Decaying,D-Arabinose,Positive
3,67,98,338,40,0.048,39.9,0.55767,0.52936,Rotting.Decaying,D-Ribose,Random
3,68,98,67,14,0.01,7.9,0.99246,0.01832,Rotting.Decaying,Methanol,Positive
3,69,98,700,91,0.099,82.6,0.9979,0.00611,Rotting.Decaying,Ethanol,Positive
3,70,98,737,89,0.105,86.9,0.80799,0.30383,Rotting.Decaying,Glycerol,Random
3,71,98,220,28,0.031,25.9,0.7362,0.34773,Rotting.Decaying,Erythritol,Random
3,72,98,501,58,0.071,59.1,0.44679,0.6379,Rotting.Decaying,Ribitol,Random
3,73,98,100,12,0.014,11.8,0.60404,0.52575,Rotting.Decaying,Galactitol,Random
3,74,98,672,77,0.095,79.2,0.31045,0.77668,Rotting.Decaying,D-Mannitol,Random
3,75,98,659,72,0.094,77.7,0.08544,0.94754,Rotting.Decaying,D-Glucitol,Random
3,76,98,75,12,0.011,8.8,0.91077,0.15885,Rotting.Decaying,myo-Inositol,Random
3,77,98,381,52,0.054,44.9,0.94863,0.07831,Rotting.Decaying,DL-Lactate,Random
3,78,98,692,90,0.098,81.6,0.99705,0.00794,Rotting.Decaying,Succinate,Positive
3,79,98,513,68,0.073,60.5,0.96313,0.0593,Rotting.Decaying,Citrate,Random
3,80,98,459,47,0.065,54.1,0.07607,0.95025,Rotting.Decaying,D-Gluconate,Random
3,81,98,314,46,0.045,37,0.98136,0.03108,Rotting.Decaying,D-Glucosamine,Positive
3,82,98,144,14,0.02,17,0.24419,0.83882,Rotting.Decaying,Nitrate,Random
3,83,98,161,18,0.023,19,0.45571,0.65034,Rotting.Decaying,Vitamin-free,Random
3,84,98,367,44,0.052,43.3,0.60527,0.47976,Rotting.Decaying,2-Keto-D-gluconate,Random
3,85,98,107,8,0.015,12.6,0.08829,0.95642,Rotting.Decaying,Starch formation,Random
3,86,98,820,97,0.116,96.7,0.75074,0.62091,Rotting.Decaying,Growth at 19°C,Random
3,87,98,822,97,0.117,96.9,0.67864,0.71231,Rotting.Decaying,Growth at 25°C,Random
3,88,98,732,90,0.104,86.3,0.92281,0.14463,Rotting.Decaying,Growth at 30°C,Random
3,89,98,345,51,0.049,40.7,0.99052,0.01656,Rotting.Decaying,Growth at 37°C,Positive
4,41,17,607,12,0.015,12.4,0.5013,0.70398,Spoiled,Glucose_F,Random
4,42,17,259,2,0.006,5.3,0.06203,0.98554,Spoiled,Galactose_F,Random
